# id | userId | screenName | utcOffset | createdAt | placeId | latitude | longitude | inReplyTo | sourceName | text
291856746568351745 | 583547325 | Norman__G | 28800 | 2013-01-17 10:37:25 | e0bf196c2d3e4397 | 47.181 | 8.52642 | 291856056668274688 | TweetDeck | @ZainiNazmi Swiss National Bank central bank. Takde bank nama Swiss Bank sini. yg ada Credit Suisse, UBS. yg org sorok duit private bank.
291856748745203712 | 86024102 | franci_de | 3600 | 2013-01-17 10:37:25 | 086752cb03de1d5d | 40.7564 | -73.9631 | ? | Twitter for iPhone | @Krystenritter: Vegas baby http://t.co/Q6VVtxCT I love it when actors are similar to their TV character in real life
291856772652732417 | 115085362 | sumemer | 3600 | 2013-01-17 10:37:31 | 88a9c00fe554a26e | ? | ? | 291851399271178240 | web | @xyuutsu41 no me preguntes cmo me ha dado porque no lo s. Pero ha sido win.
291856782945550337 | 387274691 | AnneBenjadid | 3600 | 2013-01-17 10:37:34 | 8fc3c9b3e656452c | 47.4016 | 6.4967 | 291856696047968256 | Twitter for iPhone | @CheeksDrogba graaaaave 
291856784711360513 | 1054576746 | kralj_matija | ? | 2013-01-17 10:37:34 | c799e2d3a79f810e | 45.31 | 14.2683 | 291845271384637440 | Twitter for iPhone | @teostarwars maja je isto jakp ljepa: Evo jos sam tu jer ce me mama vozit do opatije pa jos nisam krenuo
291856803552165888 | 81795642 | LeilaRaspberry | -10800 | 2013-01-17 10:37:39 | bb6fdf20c36d89c4 | 46.1797 | 7.28964 | ? | Twitter for iPhone | Les puissants flattent llphant et crasent les fourmis #Mali #Uranium http://t.co/qdjRTEFo
291856805104062465 | 429304334 | _marieshr | 7200 | 2013-01-17 10:37:39 | eb3b933a531c86e1 | 47.5093 | 6.80701 | 291856224935346176 | Twitter for iPhone | @BaBaEstGentil tes chou : #CoeurSurToi aussi tiens 
291856806861500416 | 995375887 | CarolineMalikcz | ? | 2013-01-17 10:37:40 | 05a08a199e1518c1 | 47.4675 | 8.16308 | ? | Twitter for Android | Awww :amp @liam http://t.co/SGLAX899
291856813261979648 | 186456725 | verkehr_bw | 3600 | 2013-01-17 10:37:41 | 4115db4852154b76 | 47.5966 | 7.60375 | ? | PTV Traffic Alert | Stau: zwischen Weil am Rhein/Basel und Weil am Rhein/Basel Stau. 
291856815472377856 | 186456725 | verkehr_bw | 3600 | 2013-01-17 10:37:41 | 4115db4852154b76 | 47.5966 | 7.60375 | ? | PTV Traffic Alert | Stau: A5 Karlsruhe Richtung Basel zwischen Parkplatz Weil am Rhein und Weil am Rhein/Basel Stau 17.01.2013 06:36 17.01.2013 11:51
