Van Allen William,The Mighty (1998)
Zebrowski Michal,Milosc i gniew (1993)
McGill Mike (I),Police Academy 4: Citizens on Patrol (1987)
Steblov Evgeniy,Yerkunq (1977)
Espert Núria,La reverencia (1969)
Machulska Halina,Dolina Issy (1982)
Cecchinato Toni,Les années de rêve (1992)
Brooks Joel (I),Stir Crazy (1980)
Nooner David,Under Liberty (2009)
Benitez Desiree,The Fiesta Grand (2007)
Gill Jillaine,Chewies 4: Bringing Down the House (2008)
Labib Lotfy,Ayez haqqi (2003)
McGregor Fiona,Goodbye Old Melanie (2011)
von Meyerinck Hubert,Die Stimme des Herzens (1937)
Norström Bertil,Göta kanal eller Vem drog ur proppen? (1981)
Jones Brandon Scott,Sex Drugs & the Hard Rock Cafe (2010)
Varga Livius,Egyetleneim (2006)
Mihajlovski Jovica,Pankot ne e mrtov (2011)
Scott Ella (IV),Flip a Coin (2004)
Kaminska Mila,Pan Twardowski (1921)
Orioni Luiz,Chofer de Praça (1959)
Satta Flores Stefano,Una spirale di nebbia (1977)
Bagus Ence,Setannya kok beneran? (2008)
Schmidt Andreas (I),Rififi in Berlin (2011)
Balot,Schoolgirls (1982)
Lee Will Yun,6th and Santa Fe (2008)
Foreman Lynn-Jane,Elliot Fauman Ph.D. (1990)
Mulheron Danny,The Irrefutable Truth About Demons (2000)
Robinson Vicki Sue,Hoodlums (1979)
Zerbinati Luigi,Il generale dorme in piedi (1974)
Habib (I),Apradh (1972)
Krawczyk Gérard,Amour & confusions (1997)
Gómez Eduardo (IV),La gran aventura de Mortadelo y Filemón (2003)
Lawrence Cary,The Favourite Game (2003)
Brown Jeremy Ryan,Eroded (2011)
Frawley William,Persistent Percival (1916)
Smith Sean (XVI),Brothers Three (2010)
Schneider Maria (IV),Gosia's Witch (2009)
Black Maurice (I),Laughing Irish Eyes (1936)
Tamiya Jiro,Jaga wa hashitta (1970)
Ferguson Al (I),She Couldn't Take It (1935)
Yusta Ángel Luis,El soplagaitas (1980)
Suzuki Soichiro,Kokuhaku (2010)
Horney Brigitte,Feinde (1940)
Rogers Jessica (II),The Bracelet of Bordeaux (2007)
Gook Lee Teu,Around the World in Eighty Days (1956)
Sarjeant Nicholas,Hopeful Notes (2010)
Melton Sid,Lone Texan (1959)
Wei Dick,Dung fong tuk ying (1987)
Janes Art (II),The Old Barn Dance (1938)
Svensson Harald,Snapphanar (1941)
Morake Tumi,Skin (2008/I)
Todd Tony (I),Monster School (????)
Rodgers Walter (I),One Dollar's Worth (1917)
Araki Masako,Hôhokekyo tonari no Yamada-kun (1999)
Janovic Joseph,Lucidity (2011/II)
Marren Kimberley,Viking Nightmare (2012)
Tokita Fujio,Kah-chan (2001)
Bellas Benjamin,The Merger (2006)
Hauer Rutger,In the Shadow of the Cobra (2004)
Brillant Irène,Coiffeur pour dames (1932)
Ponder Jack,Silent Trail (1928)
Lozano Richard (II),Full Grown Men (2006)
Weber 'Chatanuga' Pedro,Las dos caras del diablo (1992)
Magwili Dom,The Charles Kim Show (2011)
Sabel Richard,The Jet Benny Show (1986)
Demidoff Olga,Tom Butler (1912)
Gargan William,Follow the Leader (1930)
Serbedzija Rade,Zvezde su oci ratnika (1972)
Austen Marc Alan,Whatever Works (2009)
Wolfe Lea Anne (I),The Ten Rules (2002)
Eason B. Reeves,The Echo (1915)
Foster Travis (II),The Airborne Trilogy (2010)
Frazer Wally,Slugs muerte viscosa (1988)
Mottram Stephen,The Butcher (2008)
Thomas Jacob Eli,Half Horizon (2011)
Fontaine Bruce,Chung fung dui liu feng gaai tau (1996)
Kumar Anup (I),Surer Parashey (1957)
Stojiljkovic Jovana,Klip (2012)
Strickland Vance (II),Runners (2001)
Ferris Barbara (II),52 Pick-Up (1986)
Potthoff Lisa,Soloalbum (2003)
Riebauer Harry,Die Geschichte vom kleinen Muck (1953)
Kitaura Akiyoshi,Onsen gerira dai shogeki (1970)
Tedford Travis,The Thirteenth Floor (1999)
Vanderley Cláudio,Os Herdeiros (1970)
Roman Anthony (I),Heavy Gear (1997)
Svoboda Mirko,Poznej svého muze (1940)
Patrick Jerome,The Furnace (1920)
Logan Phyllis (I),Shooting Fish (1997)
Franz (I),La grande prugna (1999)
Smith Julian (XI),Justice Squad (2012)
Tsang Eric (I),Sat sau ji wong (1998)
Hasenau Beate,Faux pas de deux (1976)
Cooper Melville,From the Earth to the Moon (1958)
Yo Kerry,Mission of Justice (1992)
Katsumi Yotaro,Chûkon giretsu - Jitsuroku Chûshingura (1928)
Winter Jane,Kiwi Flyer (2012)
Chase Charley (I),Rough Seas (1931)
Shipman Nell,The Light on Lookout Mountain (1926)
Slezak Margarete,Rausch einer Nacht (1951)
Hendry Zoe,Confessions of a Window Cleaner (1974)
Mikke Ilona,Spotkania w mroku (1960)
Carroll Jana,Interface (1985)
Bashkirova Larisa,Golubka (2009)
Terry Iris (I),The Dance of Death (1938)
DeFranco Robert,Telling You (1998)
Dukic Sue,Annie's Coming Out (1984)
Zavala Mario,Luz de la mission (1998)
Gabereau Vicki,The Pig Farm (2011)
Robinson Graham (II),Parrs Beach (2009)
Forbes Mary (I),These Glamour Girls (1939)
Sedki Hala,Alexandrie... New York (2004)
Hazel George,North of Arizona (1935)
Rodin Merrill,In the Meantime Darling (1944)
Sadil Robert,Die Gottesanbeterin (2001)
Rieger Hanna,Schatten über den Inseln (1952)
Fiske Jeremy,Through the Woods (2010)
Marriette Annette,Six Bend Trap (2007)
Meuldijk Gerard,De Marathon (2012)
Moreno Marguerite,Rendez-vous à Paris (1947)
Bhushan Bharat,Bhemaa (1984)
V. Michael (I),Bitoy ang itawag mo sa akin (1998)
Chokachi David,12 Bucks (1998)
Raysses Michael,Time Under Fire (1997)
Tiedeman Earl,Acosta (2012)
Mueller Brooke (I),Strictly Sexual (2008)
Peukert Karl,Das sündige Dorf (1954)
Karen Bedrich,Dobrý voják Svejk (1957)
Heidemann Paul,Das Ehesanatorium (1938)
Nelson Kenneth (I),Nightbreed (1990)
Tagbo Claudia,Congorama (2006)
Tzevelekos Sotiris,O agnostos ekeinis tis nyhtas (1972)
Dunne Kenneth,Lands of Lore: Guardians of Destiny (1997)
Akaboshi Shôichirô,Kekkô Kamen: Surprise (2004)
Knoll Dayton,Madison County (2011)
Grahn Lilo,Hochzeitsnacht im Regen (1967)
Serbib Roger,Tricheurs (1984)
O'Maonlai Colm,A Place to Stay (2003)
Coster Jane,The Magnificent Six and ½: The Ski Wheelers (1971)
Lund Jørgen,Gøngehøvdingen (1909)
Walter Johnny,Drifter (2012/III)
Allison Dana (II),Welcome to Los Angeles (2012)
Petrovsky G.,Kreiser Varyag (1947)
Hawkins Richard L.,Close Encounters of the Third Kind (1977)
Buckley Erin Christine,Guess Who's Coming to Supper? (2011)
Janssen Walter (I),Der Tänzer (1919)
Frank Brigitte (I),Seitenstraße der Prostitution (1967)
López Julio (I),Gran valor (1980)
Wang Kuang Yu,Quan ji (1971)
Abdelhafid Ami,Sahara (1985)
Colbin Rod,The Gumball Rally (1976)
Brillante Nino del,Los amores de un torero (1945)
Brecher Egon,The White Angel (1936)
Guinet Philippe (II),Les deux mondes (2007)
Moss Jesse (II),Tucker and Dale vs Evil (2010)
Minoo the Mystic,Asiai Sitara (1937)
Bolding Adrian,Felony (1995)
Aikman Laura,Surviving Picasso (1996)
Rouviere Koby,Greenberg (2010)
Lancaster Rita,Caesar and Cleopatra (1945)
Mandrack Kelli,Twisted (2003)
Shea John (I),Pitch (2006)
Esposito Laura (II),The Perfect Candidate (2004)
Ruszt József,Boldogtalan kalap (1981)
Suurkask Liisa,Sandra Goes to Whistler (2005)
Otto Miranda,South Solitary (2010)
Lech Katarzyna,Malgorzata (2010)
Simeoni Vjeran,Ajde dan... prodji... (2006)
Murray Eamon,Shadow Silence (1995)
Dedaj Mickey,Dialogue avec mon jardinier (2007)
Vasilev Raicho,Ninja (2009)
Heredia Ángel,El soplón asesino (1994)
Meyers Rhona,The Removers (2001)
Frajt Bozidarka,Licem u lice (1963)
Besserer Eugenie,Illusion (1929)
Prince Korie Tristan (II),World of Wargames (2010)
Yürür Cavit,Küçük beyin kismeti (1963)
Slaboszowska Zofia,Spotkania w mroku (1960)
Hynes Robert,Lady Godiva (2008)
d'Inès Denis,Les deux gamines (1951)
Rhodes Betty Jane,Halfway to Heaven (1944)
Matsumoto Naoki (II),Onryo sakura dai-sodo (1956)
